Date,Inflasi
Nov 2005,18.38
Dec 2005,17.11
Jan 2006,17.03
Feb 2006,17.92
Mar 2006,15.74
Apr 2006,15.40
May 2006,15.60
Jun 2006,15.53
Jul 2006,15.15
Aug 2006,14.90
Sep 2006,14.55
Oct 2006,6.29
Nov 2006,5.27
Dec 2006,6.60
Jan 2007,6.26
Feb 2007,6.30
Mar 2007,6.52
Apr 2007,6.29
May 2007,6.01
Jun 2007,5.77
Jul 2007,6.06
Aug 2007,6.51
Sep 2007,6.95
Oct 2007,6.88
Nov 2007,6.71
Dec 2007,6.59
Jan 2008,7.36
Feb 2008,7.40
Mar 2008,8.17
Apr 2008,8.96
May 2008,10.38
Jun 2008,11.03
Jul 2008,11.9
Aug 2008,11.85
Sep 2008,12.14
Oct 2008,11.77
Nov 2008,11.68
Dec 2008,11.06
Jan 2009,9.17
Feb 2009,8.6
Mar 2009,7.92
Apr 2009,7.31
May 2009,6.04
Jun 2009,3.65
Jul 2009,2.71
Aug 2009,2.75
Sep 2009,2.83
Oct 2009,2.57
Nov 2009,2.41
Dec 2009,2.78
Jan 2010,3.72
Feb 2010,3.81
Mar 2010,3.43
Apr 2010,3.91
May 2010,4.16
Jun 2010,5.05
Jul 2010,6.22
Aug 2010,6.44
Sep 2010,5.8
Oct 2010,5.67
Nov 2010,6.33
Dec 2010,6.96
Jan 2011,7.02
Feb 2011,6.84
Mar 2011,6.65
Apr 2011,6.16
May 2011,5.98
Jun 2011,5.54
Jul 2011,4.61
Aug 2011,4.79
Sep 2011,4.61
Oct 2011,4.42
Nov 2011,4.15
Dec 2011,3.79
Jan 2012,3.65
Feb 2012,3.56
Mar 2012,3.97
Apr 2012,4.5
May 2012,4.45
Jun 2012,4.53
Jul 2012,4.56
Aug 2012,4.58
Sep 2012,4.31
Oct 2012,4.61
Nov 2012,4.32
Dec 2012,4.3
Jan 2013,4.57
Feb 2013,5.31
Mar 2013,5.9
Apr 2013,5.57
May 2013,5.47
Jun 2013,5.9
Jul 2013,8.61
Aug 2013,8.79
Sep 2013,8.4
Oct 2013,8.32
Nov 2013,8.37
Dec 2013,8.38
Jan 2014,8.22
Feb 2014,7.75
Mar 2014,7.32
Apr 2014,7.25
May 2014,7.32
Jun 2014,6.7
Jul 2014,4.53
Aug 2014,3.99
Sep 2014,4.53
Oct 2014,4.83
Nov 2014,6.23
Dec 2014,8.36
Jan 2015,6.96
Feb 2015,6.29
Mar 2015,6.38
Apr 2015,6.79
May 2015,7.15
Jun 2015,7.26
Jul 2015,7.26
Aug 2015,7.18
Sep 2015,6.83
Oct 2015,6.25
Nov 2015,4.89
Dec 2015,3.35
Jan 2016,4.14
Feb 2016,4.42
Mar 2016,4.45
Apr 2016,3.6
May 2016,3.33
Jun 2016,3.45
Jul 2016,3.21
Aug 2016,2.79
Sep 2016,3.07
Oct 2016,3.31
Nov 2016,3.58
Dec 2016,3.02
Jan 2017,3.49
Feb 2017,3.83
Mar 2017,3.61
Apr 2017,4.17
May 2017,4.33
Jun 2017,4.37
Jul 2017,3.88
Aug 2017,3.82
Sep 2017,3.72
Oct 2017,3.58
Nov 2017,3.3
Dec 2017,3.61
Jan 2018,3.25
Feb 2018,3.18
Mar 2018,3.4
Apr 2018,3.41
May 2018,3.23
Jun 2018,3.12
Jul 2018,3.18
Aug 2018,3.2
Sep 2018,2.88
Oct 2018,3.16
Nov 2018,3.23
Dec 2018,3.13
Jan 2019,2.82
Feb 2019,2.57
Mar 2019,2.48
Apr 2019,2.83
May 2019,3.32
Jun 2019,3.28
Jul 2019,3.32
Aug 2019,3.49
Sep 2019,3.39
Oct 2019,3.13
Nov 2019,3.0
Dec 2019,2.72
Jan 2020,2.68
Feb 2020,2.98
Mar 2020,2.96
Apr 2020,2.67
May 2020,2.19
Jun 2020,1.96
Jul 2020,1.54
Aug 2020,1.32
Sep 2020,1.42
Oct 2020,1.44
Nov 2020,1.59
Dec 2020,1.68
Jan 2021,1.55
Feb 2021,1.38
Mar 2021,1.37
Apr 2021,1.42
May 2021,1.68
Jun 2021,1.33
Jul 2021,1.52
Aug 2021,1.59
Sep 2021,1.6
Oct 2021,1.66
Nov 2021,1.75
Dec 2021,1.87
Jan 2022,2.18
Feb 2022,2.06
Mar 2022,2.64
Apr 2022,3.47
May 2022,3.55
Jun 2022,4.35
Jul 2022,4.94
Aug 2022,4.69
Sep 2022,5.95
Oct 2022,5.71
Nov 2022,5.42
Dec 2022,5.51
Jan 2023,5.28
Feb 2023,5.47
Mar 2023,4.97
Apr 2023,4.33
May 2023,4.0
Jun 2023,3.52
Jul 2023,3.08
Aug 2023,3.27
Sep 2023,2.28
Oct 2023,2.56
Nov 2023,2.86
Dec 2023,2.61
Jan 2024,5.28
Feb 2024,2.75
Mar 2024,3.05
Apr 2024,3.00
May 2024,2.84
Jun 2024,2.51
Jul 2024,2.13
Aug 2024,2.12
Sep 2024,1.84
Oct 2024,1.71